GroupID,ModuleItemTag,SlotTag,EquipAbilityID
2001,ItemType.Equip.SwordModule.FatalDA,ItemType.Equip.SwordModule,2001
2002,ItemType.Equip.SwordModule.PulseBM,ItemType.Equip.SwordModule,2002
2003,ItemType.Equip.SwordModule.DualPS,ItemType.Equip.SwordModule,2003
2004,ItemType.Equip.SwordModule.LightSM,ItemType.Equip.SwordModule,2004
2005,ItemType.Equip.GunModule.IonIC,ItemType.Equip.GunModule,2005
2006,ItemType.Equip.GunModule.CounterRD,ItemType.Equip.GunModule,2006
2007,ItemType.Equip.GunModule.OverloadCM,ItemType.Equip.GunModule,2007
2008,ItemType.Equip.GunModule.ZeroKM,ItemType.Equip.GunModule,2008
2009,ItemType.Equip.GunModule.MicroPB,ItemType.Equip.GunModule,2009
2010,ItemType.Equip.GunModule.RapidTG,ItemType.Equip.GunModule,2010
